instname,n,p,q,nonzeroA,nonzeroG,cbfbytes,epinormeucldim,epinorminfdim,epinormspectraldim,epiperexpdim,epipersquaredim,hypogeomeandim,hypoperlogdim,hypoperlogdettridim,nonnegativedim,nonpositivedim,semidefiniterealdim,semidefinitecomplexdim,powerdim,wsospolyinterprealdim,wsospolyinterpcomplexdim,epinormeucl,epinorminf,epinormspectral,epiperexp,epipersquare,hypogeomean,hypoperlog,hypoperlogdettri,nonnegative,nonpositive,semidefinitereal,semidefinitecomplex,power,wsospolyinterpreal,wsospolyinterpcomplex,isdiscrete
100_0_1_w,14400,2578,55410,9754,196766,621402,0,0,0,0,7200,0,0,0,31718,16492,0,0,0,0,0,0,0,0,0,2400,0,0,0,1,1,0,0,0,0,0,true
100_0_2_w,14400,2609,55365,9785,196824,620704,0,0,0,0,7200,0,0,0,31735,16430,0,0,0,0,0,0,0,0,0,2400,0,0,0,1,1,0,0,0,0,0,true
100_0_3_w,14400,2611,55479,9787,197564,622053,0,0,0,0,7200,0,0,0,31853,16426,0,0,0,0,0,0,0,0,0,2400,0,0,0,1,1,0,0,0,0,0,true
100_0_4_w,14400,2613,55449,9789,197225,622507,0,0,0,0,7200,0,0,0,31827,16422,0,0,0,0,0,0,0,0,0,2400,0,0,0,1,1,0,0,0,0,0,true
100_0_5_w,14400,2590,55230,9766,195654,618257,0,0,0,0,7200,0,0,0,31562,16468,0,0,0,0,0,0,0,0,0,2400,0,0,0,1,1,0,0,0,0,0,true
10_0_1_w,1440,293,5601,989,20636,68068,0,0,0,0,720,0,0,0,3259,1622,0,0,0,0,0,0,0,0,0,240,0,0,0,1,1,0,0,0,0,0,true
10_0_2_w,1440,288,5640,984,20757,68216,0,0,0,0,720,0,0,0,3288,1632,0,0,0,0,0,0,0,0,0,240,0,0,0,1,1,0,0,0,0,0,true
10_0_3_w,1440,271,5691,967,21013,69115,0,0,0,0,720,0,0,0,3305,1666,0,0,0,0,0,0,0,0,0,240,0,0,0,1,1,0,0,0,0,0,true
10_0_4_w,1440,277,5313,973,17976,61656,0,0,0,0,720,0,0,0,2939,1654,0,0,0,0,0,0,0,0,0,240,0,0,0,1,1,0,0,0,0,0,true
10_0_5_w,1440,284,5340,980,18523,62788,0,0,0,0,720,0,0,0,2980,1640,0,0,0,0,0,0,0,0,0,240,0,0,0,1,1,0,0,0,0,0,true
10_std,1440,264,5712,960,20627,65702,0,0,0,0,720,0,0,0,3312,1680,0,0,0,0,0,0,0,0,0,240,0,0,0,1,1,0,0,0,0,0,true
150_0_1_w,21600,3913,82965,14689,295005,927053,0,0,0,0,10800,0,0,0,47543,24622,0,0,0,0,0,0,0,0,0,3600,0,0,0,1,1,0,0,0,0,0,true
150_0_2_w,21600,3911,82899,14687,294193,921666,0,0,0,0,10800,0,0,0,47473,24626,0,0,0,0,0,0,0,0,0,3600,0,0,0,1,1,0,0,0,0,0,true
150_0_3_w,21600,3928,83016,14704,295197,928962,0,0,0,0,10800,0,0,0,47624,24592,0,0,0,0,0,0,0,0,0,3600,0,0,0,1,1,0,0,0,0,0,true
150_0_4_w,21600,3912,82800,14688,292382,916207,0,0,0,0,10800,0,0,0,47376,24624,0,0,0,0,0,0,0,0,0,3600,0,0,0,1,1,0,0,0,0,0,true
150_0_5_w,21600,3943,82443,14719,290157,911756,0,0,0,0,10800,0,0,0,47081,24562,0,0,0,0,0,0,0,0,0,3600,0,0,0,1,1,0,0,0,0,0,true
200_0_10_w,28800,5084,104988,19460,350456,1117064,0,0,0,0,14400,0,0,0,57508,33080,0,0,0,0,0,0,0,0,0,4800,0,0,0,1,1,0,0,0,0,0,true
200_0_11_w,28800,5143,104739,19519,349186,1106826,0,0,0,0,14400,0,0,0,57377,32962,0,0,0,0,0,0,0,0,0,4800,0,0,0,1,1,0,0,0,0,0,true
200_0_12_w,28800,5156,104796,19532,350306,1118833,0,0,0,0,14400,0,0,0,57460,32936,0,0,0,0,0,0,0,0,0,4800,0,0,0,1,1,0,0,0,0,0,true
200_0_1_w,28800,5170,110418,19546,389681,1218242,0,0,0,0,14400,0,0,0,63110,32908,0,0,0,0,0,0,0,0,0,4800,0,0,0,1,1,0,0,0,0,0,true
200_0_2_w,28800,5159,110595,19535,391419,1222198,0,0,0,0,14400,0,0,0,63265,32930,0,0,0,0,0,0,0,0,0,4800,0,0,0,1,1,0,0,0,0,0,true
200_0_3_w,28800,5210,110562,19586,392170,1228251,0,0,0,0,14400,0,0,0,63334,32828,0,0,0,0,0,0,0,0,0,4800,0,0,0,1,1,0,0,0,0,0,true
200_0_4_w,28800,5223,110427,19599,392130,1225567,0,0,0,0,14400,0,0,0,63225,32802,0,0,0,0,0,0,0,0,0,4800,0,0,0,1,1,0,0,0,0,0,true
200_0_5_w,28800,5174,110622,19550,391365,1227876,0,0,0,0,14400,0,0,0,63322,32900,0,0,0,0,0,0,0,0,0,4800,0,0,0,1,1,0,0,0,0,0,true
200_0_6_w,28800,5147,104847,19523,350575,1114520,0,0,0,0,14400,0,0,0,57493,32954,0,0,0,0,0,0,0,0,0,4800,0,0,0,1,1,0,0,0,0,0,true
200_0_7_w,28800,5067,104583,19443,345256,1097974,0,0,0,0,14400,0,0,0,57069,33114,0,0,0,0,0,0,0,0,0,4800,0,0,0,1,1,0,0,0,0,0,true
200_0_8_w,28800,5130,104538,19506,346308,1102950,0,0,0,0,14400,0,0,0,57150,32988,0,0,0,0,0,0,0,0,0,4800,0,0,0,1,1,0,0,0,0,0,true
200_0_9_w,28800,5125,104673,19501,347974,1113826,0,0,0,0,14400,0,0,0,57275,32998,0,0,0,0,0,0,0,0,0,4800,0,0,0,1,1,0,0,0,0,0,true
2013_dsNRL,61822,1616,61822,66668564,61822,420905315,61822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2013_firL1,59706,20902,59706,39787428,59706,311865753,59706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2013_firL1Linfalph,119412,20903,119412,79574856,119412,624785204,119412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2013_firL1Linfeps,59173,30085,59173,9873426,59173,74012602,59172,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19724,0,0,0,0,0,0,0,1,0,0,0,0,0,0,false
2013_firL2L1alph,49612,30268,49612,9985771,49612,75751416,49611,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9923,0,0,0,0,0,0,0,1,0,0,0,0,0,0,false
2013_firL2L1eps,60708,20903,60708,40288929,60708,316003779,60708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2013_firL2Linfalph,91783,2002,91783,121660011,91783,913908420,91783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2013_firL2Linfeps,59636,24655,59636,19108570,59636,138953897,59636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2013_firL2a,10002,10001,10002,50015001,10002,379934591,10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
